county,admin_area,conventional_households,stand_alone_radio,desk_top_computer_laptop_tablet,functional_tv,analogue_tv,internet,bicycle,motor_cycle,refrigerator,car,truck_lorry_bus_three_wheelertruck,tuk_tuk
Mombasa,County,376295,47.4,13,57.2,7.1,28.2,12.1,5.5,22,6.8,0.9,1.5
Kwale,County,172802,42.6,4.3,23.1,3.2,9.8,19,10.6,6.2,2.3,0.5,0.7
Kilifi,County,297990,37.8,5.5,25.9,2.9,11.6,15.3,10.4,8.1,2.8,0.5,0.9
Tana River,County,66984,28.4,2.7,15.3,2.3,5.5,9.6,9.7,3.7,1.6,0.4,0.5
Lamu,County,34231,37.3,4.2,30.8,3.7,11.8,28.5,15.7,8.6,1.4,0.4,0.4
Taita/Taveta,County,94468,55.9,6.3,38.6,4.5,15.9,18.6,15.2,6.7,3.5,0.7,0.5
Garissa,County,138940,47.8,2.6,12.9,2.2,6.3,3.5,3.2,6,4.1,1.4,2.3
Wajir,County,126878,54.2,1.4,6.6,1.2,3.5,2.2,3.1,2.4,2.5,0.8,2.1
Mandera,County,123954,45,1.5,8.3,1.4,3.5,3.3,6.4,3.2,3,1,2.5
Marsabit,County,76689,27.8,2.5,14.7,1.6,4.4,1.9,5.6,3,2.2,0.6,0.6
Isiolo,County,53217,39.1,4.5,26.8,2.4,8.9,4.2,7.9,7.5,4,0.7,0.6
Meru,County,423931,53.4,4.3,34.5,4.1,10.2,8.7,9.8,3.5,5.2,0.7,0.3
Tharaka-Nithi,County,109450,58.4,4.9,29.8,3.5,11.5,18.2,13.6,3.5,5,0.7,0.3
Embu,County,182427,62.9,6.3,42,5,14.7,17.5,13.9,5.6,6.6,0.9,0.4
Kitui,County,261814,55.1,3.5,19.5,3,6.8,22,13.2,2.7,3.7,0.7,0.6
Machakos,County,399523,63.1,9.4,42.6,5.3,17.6,19.7,9.8,9.4,8.7,1.1,0.5
Makueni,County,243979,62.7,4,24.5,4,9.4,29.9,14.2,2.5,4.5,0.9,0.4
Nyandarua,County,178224,72.4,4.6,48.9,5.2,12.4,20.3,11.2,2.2,5.4,1.2,0.3
Nyeri,County,244564,74.3,8.6,59.5,5.5,21.2,11.7,8.8,7.2,7.7,1,0.3
Kirinyaga,County,203576,66.6,5.9,54,4.9,13.6,21.1,14.6,5.5,6,0.9,0.5
Murang'a,County,317496,70.7,4.9,47.9,3.2,11.9,12.1,8.5,4.7,5,0.9,0.3
Kiambu,County,792333,61.4,19.6,70,6.3,39.1,16.3,6.9,19.6,12.4,1.5,0.5
Turkana,County,162627,12.1,2.1,7.4,0.9,4.4,4.2,4.8,1.9,1.3,0.4,0.4
West Pokot,County,115761,33.8,1.4,9.7,1,3.5,3.2,5.8,0.6,1.6,0.4,0.3
Samburu,County,63951,29.4,3.2,13.5,1.7,6.8,5.1,6.5,1.8,2.6,0.6,0.4
Trans Nzoia,County,222989,57.3,4.9,34.3,4.2,11,20.6,12.7,3.7,4.9,0.9,0.4
Uasin Gishu,County,301110,60.1,10.1,47.3,5.3,20.4,18.2,10.4,8.3,8.5,1.2,0.3
Elgeyo/Marakwet,County,99119,52.7,2,17.5,1.8,5,3.7,6.9,1.1,3.1,0.7,0.3
Nandi,County,199040,60.3,3.6,27.1,3.1,8.8,10.7,11.1,2.4,4.4,0.6,0.3
Baringo,County,141877,51.8,3.2,23,2.9,8.2,7.1,8.2,1.9,4.1,0.6,0.3
Laikipia,County,145776,63.3,6.9,44.4,4.7,17.5,21.1,13.3,5.2,6.4,0.9,0.4
Nakuru,County,598237,61.1,9.6,52.5,5.7,20.9,19.1,10.9,8.9,7.1,1,0.4
Narok,County,238115,59,2.7,19.3,1.8,6.9,3.7,10.7,1.9,3.5,0.6,0.5
Kajiado,County,313218,55,14.6,51.7,5.6,29.1,11.9,9.7,15.8,10.9,1.2,0.5
Kericho,County,205932,60.3,4.7,29.3,2.9,11.1,4.5,8.4,3,4.9,0.7,0.3
Bomet,County,187230,62.1,3.3,18.5,2,8,5.5,12,1.4,3.7,0.5,0.3
Kakamega,County,432284,62,4.3,29.2,4.3,8.6,24.4,11.5,3.3,3.3,0.6,0.4
Vihiga,County,143288,61.6,4.3,31.2,4.2,8.8,11.5,7.8,3.6,3,0.5,0.3
Bungoma,County,357714,62.1,4.1,25.4,3.6,7.2,26.2,11.9,2.8,3.1,0.6,0.4
Busia,County,197944,54.5,3.7,27.2,3.8,7.4,34.3,11.8,3.7,2.9,0.6,0.3
Siaya,County,249341,65.5,4.2,28.3,3.8,8.3,32.7,11.8,4,2.9,0.6,0.4
Kisumu,County,296846,65,9.8,45.1,6.5,20,22,10.3,11.6,5.3,0.8,0.8
Homa Bay,County,260290,63,4.1,26.3,4.1,8.2,12.8,10.7,3.3,2.6,0.6,0.5
Migori,County,238133,59.8,4.2,28.1,3.9,9.1,11.5,13.2,3.6,2.9,0.6,0.4
Kisii,County,307254,58.5,5,30.7,5.1,8.8,3.5,7.8,3.1,3.4,0.6,0.3
Nyamira,County,150499,62.7,3.7,30.3,5.1,7.3,3.9,8.3,2,3.4,0.7,0.3
Nairobi City,County,1494676,53.4,22.7,68.7,7.5,42.1,12.5,4.3,23.5,12.9,1.2,0.4
