county,total,notified,not_notified,don_t_know,not_stated,percent_notified
Mombasa,131086,122981,7972,133,NA,93.8
Kwale,88532,79478,8855,199,NA,89.8
Kilifi,142800,131765,10812,222,1,92.3
Tana River,33100,24147,8825,128,NA,73
Lamu,13514,12456,1044,14,NA,92.2
Taita-Taveta,31531,29831,1681,19,NA,94.6
Garissa,61844,43789,17085,970,NA,70.8
Wajir,68920,43365,25046,509,NA,62.9
Mandera,81531,51983,28681,867,NA,63.8
Marsabit,42316,29452,12750,114,NA,69.6
Isiolo,25920,20551,5274,95,NA,79.3
Meru,144104,137214,6753,137,NA,95.2
Tharaka-Nithi,33772,32207,1531,34,NA,95.4
Embu,54176,52755,1397,24,NA,97.4
Kitui,95400,83139,11955,305,1,87.1
Machakos,126591,118122,8271,198,NA,93.3
Makueni,75682,69298,6155,229,NA,91.6
Nyandarua,56625,54618,1981,25,1,96.5
Nyeri,62250,61355,858,37,NA,98.6
Kirinyaga,51979,51312,651,16,NA,98.7
Murang'a,89903,87759,2109,35,NA,97.6
Kiambu,258572,250515,7813,243,1,96.9
Turkana,79378,55238,23476,664,NA,69.6
West Pokot,68708,47338,21040,330,NA,68.9
Samburu,31453,22169,9179,105,NA,70.5
Trans Nzoia,97462,79304,17908,250,NA,81.4
Uasin Gishu,118200,107163,10786,251,NA,90.7
Elgeyo-Marakwet,44098,41027,3026,45,NA,93
Nandi,84741,73006,11480,255,NA,86.2
Baringo,64851,52747,11811,293,NA,81.3
Laikipia,50465,44657,5749,59,NA,88.5
Nakuru,224180,204887,18917,373,3,91.4
Narok,128449,101905,25934,610,NA,79.3
Kajiado,127020,113508,13154,357,1,89.4
Kericho,89107,80176,8768,163,NA,90
Bomet,86865,79169,7503,193,NA,91.1
Kakamega,167691,150147,17268,276,NA,89.5
Vihiga,47044,43243,3719,82,NA,91.9
Bungoma,159661,140356,18916,389,NA,87.9
Busia,83649,73748,9774,127,NA,88.2
Siaya,92926,85971,6796,159,NA,92.5
Kisumu,114833,106840,7906,87,NA,93
Homabay,116773,104762,11839,172,NA,89.7
Migori,119288,106446,12580,262,NA,89.2
Kisii,114192,105459,8562,171,NA,92.4
Nyamira,51480,48002,3421,56,1,93.2
Nairobi City,503983,484632,18737,613,1,96.2
